"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 27 08:42:05 UTC 2026","Mon Apr 27 08:42:10 UTC 2026","5304","tests","test_features","","","","test_search_narrows_cards_and_clearing_restores_the_count","/home/runner/work/Aily-Labs/Aily-Labs/features/checks_search_and_filter.feature: Search narrows cards and clearing restores the count"
"passed","Mon Apr 27 08:42:11 UTC 2026","Mon Apr 27 08:42:13 UTC 2026","2284","tests","test_features","","","","test_home_page_loads_with_the_expected_grafana_shell","/home/runner/work/Aily-Labs/Aily-Labs/features/home_smoke.feature: Home page loads with the expected Grafana shell"
"passed","Mon Apr 27 08:41:56 UTC 2026","Mon Apr 27 08:42:00 UTC 2026","4373","tests","test_features","","","","test_checks_page_renders_cards_with_wellformed_structure","/home/runner/work/Aily-Labs/Aily-Labs/features/checks_list.feature: Checks page renders cards with well-formed structure"
"passed","Mon Apr 27 08:42:01 UTC 2026","Mon Apr 27 08:42:04 UTC 2026","3726","tests","test_features","","","","test_sm_subnavigation_entries_are_all_visible_from_the_checks_page","/home/runner/work/Aily-Labs/Aily-Labs/features/checks_list.feature: SM sub-navigation entries are all visible from the Checks page"
